@relation 'Pacman-data-training-weka.filters.unsupervised.attribute.Remove-R31,33-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Randomize-S5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Discretize-Y-B5-M-1.0-Rfirst-last-precision5-weka.filters.unsupervised.attribute.Center-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.RemoveUseless -M 99.0-Fweka.filters.unsupervised.instance.RemoveDuplicates-Fweka.filters.unsupervised.instance.Randomize -S 5-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-Fweka.filters.unsupervised.attribute.Discretize -Y -B 5 -M -1.0 -R first-last -precision 5-Fweka.filters.unsupervised.attribute.Center'

@attribute pacman_position_x {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute pacman_position_y {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute is_North_Valid {True,False}
@attribute is_South_Valid {True,False}
@attribute is_East_Valid {True,False}
@attribute is_West_Valid {True,False}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute alive_ghost_1 {True,False}
@attribute alive_ghost_2 {True,False}
@attribute alive_ghost_3 {True,False}
@attribute alive_ghost_4 {True,False}
@attribute ghost_1_position_x {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute ghost_1_position_y {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute ghost_2_position_x {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute ghost_2_position_y {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute ghost_3_position_x {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute ghost_3_position_y {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute ghost_4_position_x {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute ghost_4_position_y {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute ghost_1_direction {North,South,East,West,Stop}
@attribute ghost_2_direction {North,South,East,West,Stop}
@attribute ghost_3_direction {North,South,East,West,Stop}
@attribute ghost_4_direction {North,South,East,West,Stop}
@attribute ghost_1_distance {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute ghost_2_distance {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute ghost_3_distance {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute ghost_4_distance {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute pac_dots_distance {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute score {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}
@attribute next_action {North,South,East,West,Stop}

@data
'\'B2of5\'','\'B1of5\'',True,False,True,True,South,False,False,False,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B2of5\'',East
'\'B1of5\'','\'B3of5\'',False,False,True,True,East,True,True,True,True,'\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B1of5\'','\'B5of5\'','\'B2of5\'','\'B5of5\'','\'B2of5\'',Stop,Stop,Stop,Stop,'\'B2of5\'','\'B4of5\'','\'B4of5\'','\'B4of5\'','\'B1of5\'','\'B1of5\'',East
'\'B2of5\'','\'B2of5\'',True,True,True,True,South,True,False,False,False,'\'B2of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',North,Stop,Stop,Stop,'\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B2of5\'',South
'\'B5of5\'','\'B3of5\'',True,True,True,True,North,True,True,True,True,'\'B4of5\'','\'B5of5\'','\'B5of5\'','\'B5of5\'','\'B2of5\'','\'B5of5\'','\'B2of5\'','\'B5of5\'',West,South,West,West,'\'B5of5\'','\'B3of5\'','\'B4of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'',West
'\'B4of5\'','\'B3of5\'',False,True,True,True,East,False,False,False,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'',South
'\'B2of5\'','\'B3of5\'',True,True,True,True,South,True,False,False,False,'\'B2of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',North,Stop,Stop,Stop,'\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B2of5\'',South
'\'B5of5\'','\'B2of5\'',True,True,False,False,North,True,True,True,True,'\'B4of5\'','\'B5of5\'','\'B5of5\'','\'B5of5\'','\'B3of5\'','\'B5of5\'','\'B3of5\'','\'B5of5\'',West,East,West,West,'\'B5of5\'','\'B3of5\'','\'B4of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'',North
'\'B1of5\'','\'B4of5\'',True,True,True,False,South,True,True,True,True,'\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B1of5\'','\'B5of5\'','\'B2of5\'','\'B5of5\'','\'B2of5\'',Stop,Stop,Stop,Stop,'\'B3of5\'','\'B5of5\'','\'B5of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'',South
'\'B2of5\'','\'B2of5\'',True,True,False,True,North,True,False,True,True,'\'B2of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B2of5\'','\'B5of5\'','\'B2of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'',North
'\'B2of5\'','\'B2of5\'',True,True,True,True,West,True,True,False,False,'\'B2of5\'','\'B2of5\'','\'B2of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',West,South,Stop,Stop,'\'B3of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B1of5\'',West
'\'B3of5\'','\'B2of5\'',True,True,False,True,North,True,False,True,True,'\'B2of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B2of5\'','\'B5of5\'','\'B2of5\'',Stop,Stop,Stop,Stop,'\'B3of5\'','\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'',West
'\'B2of5\'','\'B1of5\'',True,True,True,True,East,False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B4of5\'','\'B5of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'','\'B1of5\'','\'B3of5\'',East
'\'B2of5\'','\'B3of5\'',True,True,True,True,East,True,True,True,True,'\'B3of5\'','\'B1of5\'','\'B4of5\'','\'B2of5\'','\'B5of5\'','\'B4of5\'','\'B5of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B4of5\'','\'B2of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'',South
'\'B3of5\'','\'B1of5\'',True,True,True,True,South,True,False,True,True,'\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B4of5\'','\'B5of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B2of5\'','\'B1of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B3of5\'',West
'\'B4of5\'','\'B1of5\'',False,True,True,False,North,True,True,True,True,'\'B4of5\'','\'B5of5\'','\'B5of5\'','\'B5of5\'','\'B3of5\'','\'B5of5\'','\'B3of5\'','\'B5of5\'',East,West,North,East,'\'B5of5\'','\'B3of5\'','\'B3of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'',East
'\'B4of5\'','\'B2of5\'',False,False,True,True,East,False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B2of5\'','\'B5of5\'','\'B2of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'',East
'\'B2of5\'','\'B1of5\'',True,False,True,True,West,True,False,True,True,'\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B4of5\'','\'B2of5\'','\'B2of5\'',Stop,Stop,East,South,'\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B2of5\'','\'B3of5\'','\'B1of5\'',West
'\'B3of5\'','\'B1of5\'',True,True,False,True,South,False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B2of5\'','\'B5of5\'','\'B2of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'',South
'\'B2of5\'','\'B2of5\'',True,True,True,False,South,True,True,True,True,'\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B1of5\'','\'B5of5\'','\'B2of5\'','\'B5of5\'','\'B2of5\'',Stop,Stop,Stop,Stop,'\'B2of5\'','\'B2of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'',South
'\'B2of5\'','\'B1of5\'',True,True,True,True,South,True,True,True,True,'\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B1of5\'','\'B5of5\'','\'B2of5\'','\'B5of5\'','\'B2of5\'',Stop,Stop,Stop,Stop,'\'B3of5\'','\'B2of5\'','\'B2of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'',East
'\'B4of5\'','\'B1of5\'',False,True,True,True,East,False,False,False,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B2of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B2of5\'',East
'\'B3of5\'','\'B3of5\'',True,True,True,True,South,True,True,True,False,'\'B1of5\'','\'B2of5\'','\'B2of5\'','\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'',West,North,West,Stop,'\'B4of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B1of5\'',South
'\'B2of5\'','\'B2of5\'',True,False,True,True,East,True,False,True,True,'\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B2of5\'','\'B1of5\'',East,Stop,West,East,'\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B2of5\'','\'B1of5\'',East
'\'B2of5\'','\'B4of5\'',False,False,True,True,West,True,True,True,True,'\'B4of5\'','\'B5of5\'','\'B5of5\'','\'B5of5\'','\'B2of5\'','\'B5of5\'','\'B3of5\'','\'B5of5\'',West,West,South,West,'\'B2of5\'','\'B2of5\'','\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'',West
'\'B1of5\'','\'B1of5\'',True,True,True,True,North,False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B2of5\'','\'B1of5\'',Stop,Stop,South,North,'\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B2of5\'','\'B3of5\'','\'B1of5\'',East
'\'B1of5\'','\'B4of5\'',True,True,False,False,South,True,True,True,True,'\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B1of5\'','\'B5of5\'','\'B2of5\'','\'B5of5\'','\'B2of5\'',Stop,Stop,Stop,Stop,'\'B3of5\'','\'B5of5\'','\'B5of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'',South
'\'B4of5\'','\'B2of5\'',False,False,True,True,West,False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B2of5\'','\'B5of5\'','\'B2of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'',West
'\'B3of5\'','\'B2of5\'',True,True,True,True,South,True,True,False,False,'\'B2of5\'','\'B2of5\'','\'B2of5\'','\'B4of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',East,South,Stop,Stop,'\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B1of5\'',West
'\'B2of5\'','\'B2of5\'',True,True,True,True,North,True,True,False,False,'\'B1of5\'','\'B2of5\'','\'B2of5\'','\'B4of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',West,East,Stop,Stop,'\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B1of5\'',North
'\'B3of5\'','\'B2of5\'',True,True,True,True,East,False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B4of5\'','\'B5of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B2of5\'','\'B1of5\'','\'B4of5\'',North
'\'B2of5\'','\'B4of5\'',True,True,True,False,West,True,True,True,True,'\'B4of5\'','\'B5of5\'','\'B5of5\'','\'B5of5\'','\'B2of5\'','\'B5of5\'','\'B2of5\'','\'B5of5\'',East,East,South,North,'\'B3of5\'','\'B2of5\'','\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'',North
'\'B2of5\'','\'B2of5\'',True,True,True,False,South,True,True,True,True,'\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B1of5\'','\'B5of5\'','\'B2of5\'','\'B5of5\'','\'B2of5\'',Stop,Stop,Stop,Stop,'\'B2of5\'','\'B2of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'',South
'\'B2of5\'','\'B1of5\'',True,False,True,True,South,False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B2of5\'','\'B5of5\'','\'B2of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'',East
'\'B5of5\'','\'B3of5\'',True,True,True,True,South,False,False,False,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'',East
'\'B5of5\'','\'B3of5\'',True,True,True,True,East,False,False,False,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'',South
'\'B5of5\'','\'B1of5\'',False,False,True,True,East,False,False,False,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B2of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'',East
'\'B3of5\'','\'B1of5\'',True,True,True,True,East,False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B4of5\'','\'B5of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B4of5\'',North
'\'B2of5\'','\'B2of5\'',True,True,True,True,North,False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B2of5\'','\'B2of5\'',Stop,Stop,North,West,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'',North
'\'B3of5\'','\'B3of5\'',True,True,False,True,East,False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B2of5\'','\'B5of5\'','\'B2of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'',North
'\'B3of5\'','\'B3of5\'',True,True,True,True,Stop,True,True,True,True,'\'B2of5\'','\'B2of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B2of5\'','\'B4of5\'',Stop,Stop,Stop,Stop,'\'B4of5\'','\'B2of5\'','\'B2of5\'','\'B1of5\'','\'B3of5\'','\'B1of5\'',North
'\'B4of5\'','\'B3of5\'',True,True,True,True,East,False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B4of5\'','\'B5of5\'','\'B3of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'',North
'\'B2of5\'','\'B2of5\'',True,True,True,False,West,True,False,True,True,'\'B2of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B2of5\'','\'B5of5\'','\'B2of5\'',Stop,Stop,Stop,Stop,'\'B2of5\'','\'B1of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'',South
'\'B2of5\'','\'B1of5\'',True,True,True,True,South,True,False,True,True,'\'B2of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B4of5\'','\'B2of5\'','\'B1of5\'',West,Stop,East,West,'\'B2of5\'','\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B2of5\'','\'B1of5\'',South
'\'B2of5\'','\'B2of5\'',True,True,False,True,North,True,False,True,True,'\'B2of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B2of5\'','\'B5of5\'','\'B2of5\'',Stop,Stop,Stop,Stop,'\'B2of5\'','\'B1of5\'','\'B3of5\'','\'B3of5\'','\'B1of5\'','\'B1of5\'',North
'\'B3of5\'','\'B3of5\'',True,True,True,True,North,True,True,True,True,'\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B4of5\'','\'B3of5\'','\'B2of5\'','\'B2of5\'','\'B4of5\'',West,South,Stop,East,'\'B5of5\'','\'B2of5\'','\'B2of5\'','\'B1of5\'','\'B3of5\'','\'B1of5\'',North
'\'B5of5\'','\'B2of5\'',False,False,True,True,East,True,True,True,True,'\'B5of5\'','\'B5of5\'','\'B5of5\'','\'B5of5\'','\'B3of5\'','\'B5of5\'','\'B3of5\'','\'B5of5\'',South,East,West,East,'\'B5of5\'','\'B4of5\'','\'B4of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'',East
'\'B1of5\'','\'B5of5\'',True,True,True,False,South,True,True,True,True,'\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B1of5\'','\'B5of5\'','\'B2of5\'','\'B5of5\'','\'B2of5\'',Stop,Stop,Stop,Stop,'\'B4of5\'','\'B5of5\'','\'B5of5\'','\'B5of5\'','\'B1of5\'','\'B1of5\'',South
'\'B4of5\'','\'B2of5\'',False,False,True,True,East,False,False,True,True,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B5of5\'','\'B2of5\'','\'B5of5\'','\'B2of5\'',Stop,Stop,Stop,Stop,'\'B1of5\'','\'B1of5\'','\'B1of5\'','\'B2of5\'','\'B1of5\'','\'B1of5\'',East
